Date,Open,High,Low,Close,Adj Close,Volume
2012-12-19,308800.0,315600.0,308240.0,315440.0,255918.734375,260
2012-12-20,313680.0,320000.0,312880.0,315200.0,255724.03125,269
2012-12-21,329760.0,333840.0,324000.0,325040.0,263707.375,220
2012-12-24,327760.0,329200.0,326080.0,327600.0,265784.25,52
2012-12-26,326960.0,338880.0,325520.0,335520.0,272209.90625,103
2012-12-27,334960.0,349680.0,333440.0,336960.0,273378.09375,297
2012-12-28,344000.0,347040.0,336640.0,346720.0,281296.4375,166
2012-12-31,348320.0,349680.0,322560.0,324400.0,263188.0625,249
2013-01-02,300960.0,304320.0,293520.0,293520.0,238134.921875,338
2013-01-03,293840.0,300800.0,291920.0,297920.0,241704.671875,271
2013-01-04,297840.0,303200.0,297840.0,300880.0,244106.125,171
2013-01-07,303920.0,306240.0,299440.0,300320.0,243651.75,154
2013-01-08,301120.0,307280.0,298720.0,302000.0,245014.796875,158
2013-01-09,301200.0,301920.0,296640.0,299280.0,242808.015625,141
2013-01-10,293200.0,302160.0,292400.0,293840.0,238394.46875,149
2013-01-11,294000.0,296000.0,292160.0,292640.0,237420.96875,112
2013-01-14,297200.0,300160.0,294240.0,296400.0,240471.4375,142
2013-01-15,300720.0,304640.0,299600.0,300720.0,243976.34375,155
2013-01-16,299200.0,301120.0,294240.0,297120.0,241055.578125,131
2013-01-17,293520.0,295040.0,289520.0,292720.0,237485.890625,213
2013-01-18,295760.0,298800.0,294000.0,294880.0,239238.265625,202
2013-01-22,294000.0,299280.0,292880.0,293200.0,237875.25,169
2013-01-23,288320.0,289760.0,285440.0,288160.0,233786.328125,170
2013-01-24,299520.0,301200.0,292080.0,299760.0,243197.4375,210
2013-01-25,297120.0,298640.0,292720.0,295360.0,239627.71875,170
2013-01-28,294880.0,296240.0,290320.0,293760.0,238329.609375,182
2013-01-29,294400.0,300080.0,291280.0,293360.0,238005.046875,296
2013-01-30,291760.0,296880.0,288880.0,294400.0,238848.84375,260
2013-01-31,294800.0,297680.0,290640.0,296800.0,240796.015625,206
2013-02-01,290400.0,294240.0,284960.0,286480.0,232423.28125,265
2013-02-04,291600.0,301520.0,288960.0,301440.0,244560.421875,216
2013-02-05,297520.0,299520.0,285360.0,288240.0,233851.1875,206
2013-02-06,290880.0,293360.0,287040.0,290880.0,235993.078125,218
2013-02-07,289600.0,299600.0,289120.0,290080.0,235343.953125,196
2013-02-08,285360.0,286240.0,279280.0,281200.0,228139.5625,234
2013-02-11,280560.0,283680.0,280240.0,281200.0,228139.5625,116
2013-02-12,282000.0,285120.0,280240.0,284480.0,230800.671875,128
2013-02-13,281760.0,283920.0,278080.0,281280.0,228204.515625,141
